ch x y z
0 1 1 -1
1 2 1 -1
2 3 1 -1
3 4 1 -1
4 5 1 -1
5 1 2 -1
6 2 2 -1
7 3 2 -1
8 4 2 -1
9 5 2 -1
10 1 3 -1
11 2 3 -1
12 3 3 -1
13 4 3 -1
14 5 3 -1
16 1 4 -1
17 2 4 -1
18 3 4 -1
19 4 4 -1
20 5 4 -1
21 -1 1 0
22 -1 1 1
23 -1 1 2
24 -1 2 0
25 -1 2 1
26 -1 2 2
27 -1 3 0
28 -1 3 1
29 -1 3 2
30 -1 4 0
32 -1 4 1
33 -1 4 2
34 5 -1 0
35 5 -1 1
36 5 -1 2
37 4 -1 0
38 4 -1 1
39 4 -1 2
40 3 -1 0
41 3 -1 1
42 3 -1 2
43 2 -1 0
44 2 -1 1
45 2 -1 2
46 1 -1 0
48 1 -1 1
49 1 -1 2
51 0 -1 0
52 0 -1 1
53 0 -1 2
54 6 -1 0
55 6 -1 1
56 6 -1 2
57 -1 5 0
58 -1 5 1
