cube x y z
1 -1 51 -1
2 -1 52 -1
3 -1 53 -1
4 -1 46 -1
5 -1 48 -1
6 -1 49 -1
7 -1 43 -1
8 -1 44 -1
9 -1 45 -1
10 -1 40 -1
11 -1 41 -1
12 -1 42 -1
13 -1 37 -1
14 -1 38 -1
15 -1 39 -1
16 -1 34 -1
17 -1 35 -1
18 -1 36 -1
19 -1 54 -1
20 -1 55 -1
21 -1 56 -1
22 21 51 -1
23 22 52 -1
24 23 53 -1
25 21 46 0
26 22 48 0
27 23 49 0
28 21 43 1
29 22 44 1
30 23 45 1
31 21 40 2
32 22 41 2
33 23 42 2
34 21 37 3
35 22 38 3
36 23 39 3
37 21 34 4
38 22 35 4
39 23 36 4
40 21 54 -1
41 22 55 -1
42 23 56 -1
43 24 51 -1
44 25 52 -1
45 26 53 -1
46 24 46 5
47 25 48 5
48 26 49 5
49 24 43 6
50 25 44 6
51 26 45 6
52 24 40 7
53 25 41 7
54 26 42 7
55 24 37 8
56 25 38 8
57 26 39 8
58 24 34 9
59 25 35 9
60 26 36 9
61 24 54 -1
62 25 55 -1
63 26 56 -1
64 27 51 -1
65 28 52 -1
66 29 53 -1
67 27 46 10
68 28 48 10
69 29 49 10
70 27 43 11
71 28 44 11
72 29 45 11
73 27 40 12
74 28 41 12
75 29 42 12
76 27 37 13
77 28 38 13
78 29 39 13
79 27 34 14
80 28 35 14
81 29 36 14
82 27 54 -1
83 28 55 -1
84 29 56 -1
85 30 51 -1
86 32 52 -1
87 33 53 -1
88 30 46 16
89 32 48 16
90 33 49 16
91 30 43 17
92 32 44 17
93 33 45 17
94 30 40 18
95 32 41 18
96 33 42 18
97 30 37 19
98 32 38 19
99 33 39 19
100 30 34 20
101 32 35 20
102 33 36 20
103 30 54 -1
104 32 55 -1
105 33 56 -1
106 57 51 -1
107 58 52 -1
108 -1 53 -1
109 57 46 -1
110 58 48 -1
111 -1 49 -1
112 57 43 -1
113 58 44 -1
114 -1 45 -1
115 57 40 -1
116 58 41 -1
117 -1 42 -1
118 57 37 -1
119 58 38 -1
120 -1 39 -1
121 57 34 -1
122 58 35 -1
123 -1 36 -1
124 57 54 -1
125 58 55 -1
126 -1 56 -1
